Date,Open,High,Low,Close,Adj Close,Volume
2016-04-28,78.349998,79.269997,77.599998,77.680000,76.195129,8322600
2016-04-29,77.519997,78.010002,76.860001,77.239998,75.763542,8092700
2016-05-02,77.809998,78.470001,77.160004,78.459999,76.960220,7636800
2016-05-03,77.430000,78.360001,76.930000,77.190002,75.714500,7666300
2016-05-04,76.559998,77.379997,76.349998,77.070000,75.596802,8633800
2016-05-05,77.139999,77.699997,77.010002,77.360001,75.881248,6002300
2016-05-06,77.230003,77.800003,76.779999,77.720001,76.234375,6172600
2016-05-09,77.690002,78.360001,77.580002,78.220001,76.724815,9242300
2016-05-10,78.419998,79.330002,78.410004,79.199997,77.686066,6761400
2016-05-11,79.139999,79.330002,77.290001,77.300003,75.956657,8432500
2016-05-12,77.800003,78.190002,77.070000,77.889999,76.536407,7512800
2016-05-13,77.709999,78.279999,76.830002,76.830002,75.494827,7562700
2016-05-16,77.019997,78.059998,76.959999,77.800003,76.447975,8597900
2016-05-17,77.570000,77.919998,76.519997,76.790001,75.455513,7169900
2016-05-18,76.709999,77.879997,76.400002,77.430000,76.084412,6288500
2016-05-19,76.870003,77.250000,76.220001,76.879997,75.543961,5552200
2016-05-20,77.339996,78.040001,77.180000,77.669998,76.320206,6302100
2016-05-23,77.760002,77.989998,77.139999,77.209999,75.868225,5911100
2016-05-24,77.660004,79.500000,77.660004,79.379997,78.000519,7582300
2016-05-25,79.500000,79.669998,78.949997,79.059998,77.686066,5846700
2016-05-26,79.400002,79.400002,78.870003,79.000000,77.627113,4226500
2016-05-27,78.839996,79.660004,78.839996,79.660004,78.275650,4374600
2016-05-31,79.860001,79.870003,78.760002,78.940002,77.568169,8639600
2016-06-01,78.690002,79.320000,78.570000,79.220001,77.843292,4507000
2016-06-02,79.269997,79.949997,78.930000,79.949997,78.560608,5620500
2016-06-03,79.550003,80.199997,79.160004,79.940002,78.550797,7628000
2016-06-06,80.290001,80.900002,80.169998,80.540001,79.140350,7620100
2016-06-07,80.699997,81.000000,80.540001,80.599998,79.199318,5515700
2016-06-08,80.599998,81.709999,80.470001,81.650002,80.231056,8860900
2016-06-09,81.230003,81.540001,80.980003,81.260002,79.847855,6670900
2016-06-10,80.750000,80.750000,79.839996,80.180000,78.786621,7859900
2016-06-13,79.000000,80.180000,78.379997,78.400002,77.037544,10424600
2016-06-14,78.120003,78.750000,77.959999,78.570000,77.204597,7891700
2016-06-15,78.570000,78.839996,78.050003,78.169998,76.811539,7424000
2016-06-16,77.889999,78.519997,77.139999,78.349998,76.988411,9650800
2016-06-17,78.320000,78.330002,76.830002,76.989998,75.652046,14602200
2016-06-20,78.300003,78.379997,77.320000,77.339996,75.995956,9957500
2016-06-21,77.809998,78.010002,77.150002,77.330002,75.986137,9201000
2016-06-22,77.580002,77.760002,76.529999,76.529999,75.200027,9626700
2016-06-23,77.760002,78.239998,76.870003,78.230003,76.870491,13566200
2016-06-24,74.800003,76.040001,74.449997,75.050003,73.745758,18375000
2016-06-27,74.180000,74.580002,73.250000,73.339996,72.065475,16318400
2016-06-28,75.040001,75.500000,74.489998,75.160004,73.853851,14815200
2016-06-29,75.980003,76.760002,75.709999,76.739998,75.406387,12178100
2016-06-30,76.989998,77.139999,73.800003,74.169998,72.881050,24877300
2016-07-01,74.500000,75.940002,74.099998,74.480003,73.185669,13821400
2016-07-05,74.250000,74.970001,73.830002,74.669998,73.372360,11081000
2016-07-06,74.120003,74.750000,73.830002,74.059998,72.772957,11263800
2016-07-07,74.320000,75.290001,74.269997,74.510002,73.215149,8747400
2016-07-08,75.300003,76.550003,74.790001,76.419998,75.091965,10975000
2016-07-11,76.809998,77.190002,76.389999,76.519997,75.190216,8185900
2016-07-12,76.680000,77.570000,76.550003,77.480003,76.133530,10245500
2016-07-13,77.680000,77.779999,77.199997,77.459999,76.113884,6559200
2016-07-14,78.059998,78.540001,77.690002,78.139999,76.782059,6607400
2016-07-15,78.650002,78.750000,78.050003,78.300003,76.939293,8153400
2016-07-18,78.349998,78.699997,78.230003,78.309998,76.949104,4864200
2016-07-19,77.750000,78.889999,77.629997,78.720001,77.351982,9395500
2016-07-20,78.750000,79.750000,78.750000,79.360001,77.980865,7922100
2016-07-21,79.440002,79.730003,78.400002,78.790001,77.420761,9018000
2016-07-22,79.980003,80.080002,78.330002,79.910004,78.521317,12532400
2016-07-25,80.169998,80.169998,78.730003,78.940002,77.568169,7979900
2016-07-26,78.980003,79.059998,77.940002,78.489998,77.125977,9673200
2016-07-27,78.459999,78.790001,77.529999,78.529999,77.165298,10185100
2016-07-28,78.690002,80.000000,78.550003,79.190002,77.813812,8709700
2016-07-29,79.239998,79.349998,78.000000,78.050003,76.693626,7777700
2016-08-01,78.309998,78.529999,77.730003,78.260002,76.899986,8908800
2016-08-02,78.070000,78.470001,77.750000,78.279999,76.919640,7910000
2016-08-03,78.279999,78.709999,78.209999,78.709999,77.342155,7272700
2016-08-04,78.830002,79.650002,78.750000,79.480003,78.098778,5942100
2016-08-05,79.730003,80.239998,79.660004,80.139999,78.747299,6662500
2016-08-08,80.230003,80.339996,79.800003,79.949997,78.560608,5119700
2016-08-09,79.959999,80.480003,79.949997,80.059998,78.668694,4455700
2016-08-10,79.970001,80.220001,79.510002,79.680000,78.295303,5945500
2016-08-11,80.000000,80.279999,79.839996,80.120003,78.727661,6519800
2016-08-12,79.800003,80.080002,79.650002,80.019997,78.629387,4420400
2016-08-15,80.129997,81.150002,80.019997,80.910004,79.503922,6290300
2016-08-16,80.419998,80.910004,80.220001,80.809998,79.405663,6182600
2016-08-17,80.709999,80.860001,80.400002,80.839996,79.573006,4655400
2016-08-18,80.010002,80.589996,79.910004,80.269997,79.011925,7453900
2016-08-19,80.010002,80.470001,79.739998,80.470001,79.208801,8480900
2016-08-22,80.339996,81.080002,79.959999,81.059998,79.789543,7954500
2016-08-23,81.370003,81.760002,80.800003,80.800003,79.533630,10007800
2016-08-24,80.800003,80.980003,80.190002,80.290001,79.031624,5028000
2016-08-25,80.290001,80.519997,80.000000,80.320000,79.061157,5773700
2016-08-26,80.620003,81.139999,80.169998,80.570000,79.307228,7932200
2016-08-29,80.540001,80.989998,80.540001,80.870003,79.602539,4709100
2016-08-30,81.000000,81.190002,80.720001,81.169998,79.897827,4128700
