Date,Open,High,Low,Close,Adj Close,Volume
2017-10-26,25.250000,25.250000,25.219999,25.240000,25.240000,9600
2017-10-27,null,null,null,null,null,null
2017-10-30,null,null,null,null,null,null
2017-10-31,null,null,null,null,null,null
2017-11-01,null,null,null,null,null,null
2017-11-02,null,null,null,null,null,null
2017-11-03,null,null,null,null,null,null
2017-11-06,null,null,null,null,null,null
2017-11-07,null,null,null,null,null,null
2017-11-08,null,null,null,null,null,null
2017-11-09,null,null,null,null,null,null
2017-11-10,13.300000,14.630000,13.020000,13.080000,13.080000,9885700
2017-11-13,13.430000,13.680000,13.090000,13.150000,13.150000,2148100
2017-11-14,13.100000,13.250000,12.750000,13.000000,13.000000,2226900
2017-11-15,13.000000,13.040000,12.700000,12.700000,12.700000,917400
2017-11-16,12.780000,12.960000,12.610000,12.930000,12.930000,940900
2017-11-17,12.930000,13.080000,12.720000,13.000000,13.000000,869900
2017-11-20,13.000000,13.090000,12.500000,12.560000,12.560000,437800
2017-11-21,10.800000,11.500000,10.020000,10.800000,10.800000,2498500
2017-11-22,10.810000,10.810000,8.050000,8.180000,8.180000,4301300
2017-11-24,7.830000,9.800000,7.830000,9.450000,9.450000,2689800
2017-11-27,9.090000,9.900000,9.000000,9.430000,9.430000,1096400
2017-11-28,9.320000,10.270000,9.300000,10.070000,10.070000,882900
2017-11-29,10.110000,10.250000,9.300000,9.310000,9.310000,840000
2017-11-30,9.320000,9.750000,9.300000,9.600000,9.600000,653600
2017-12-01,8.990000,9.450000,8.600000,8.800000,8.800000,1531200
2017-12-04,9.020000,9.100000,8.080000,8.340000,8.340000,988600
2017-12-05,8.200000,8.240000,7.760000,7.800000,7.800000,916400
2017-12-06,7.420000,8.110000,6.880000,8.060000,8.060000,1993400
2017-12-07,7.900000,7.905000,6.950000,7.160000,7.160000,3164600
2017-12-08,7.320000,7.690000,7.140000,7.570000,7.570000,1406100
2017-12-11,7.550000,8.070000,7.500000,8.000000,8.000000,1690600
2017-12-12,7.960000,8.180000,7.400000,7.500000,7.500000,987600
2017-12-13,7.460000,8.540000,7.350000,8.500000,8.500000,2085200
2017-12-14,8.460000,8.720000,7.990000,8.090000,8.090000,1401800
2017-12-15,8.010000,8.080000,7.500000,7.510000,7.510000,1004200
2017-12-18,7.600000,7.860000,7.210000,7.260000,7.260000,1170700
2017-12-19,7.290000,7.400000,7.110000,7.260000,7.260000,544600
2017-12-20,7.320000,7.399000,7.050000,7.090000,7.090000,573300
2017-12-21,7.170000,7.280000,7.090000,7.250000,7.250000,462000
2017-12-22,7.240000,7.299000,7.050000,7.230000,7.230000,296400
2017-12-26,7.230000,7.230000,6.950000,7.070000,7.070000,587400
2017-12-27,7.120000,7.180000,7.000000,7.090000,7.090000,410400
2017-12-28,7.140000,7.160000,7.020000,7.090000,7.090000,355800
2017-12-29,7.090000,7.190000,7.030000,7.110000,7.110000,436600
2018-01-02,7.220000,7.373000,7.100000,7.190000,7.190000,426000
2018-01-03,7.250000,7.360000,7.110000,7.190000,7.190000,629200
2018-01-04,7.120000,7.260000,7.100000,7.140000,7.140000,574300
2018-01-05,7.200000,7.396000,7.110000,7.130000,7.130000,615300
2018-01-08,7.150000,7.200000,7.030000,7.100000,7.100000,336600
2018-01-09,7.180000,7.250000,7.050000,7.090000,7.090000,307800
